Media_ID,Title,Region,Genre,Has_Updates,Status,Updates_Count,XML_Updates,Direct_Updates,Total_Size_MB,Update_Version,Update_URL,Update_SHA1,Update_Size_MB,Update_Filename,Update_Type
PCSG00038,Sumioni,JP,Role-Playing » General,True,success,1,0,0,106.9271240234375,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00038/PCSG00038_T1/2070de8044ce6971/JP0048-PCSG00038_00-SUMIAPP000000000-A0101-V0101-2edf42ad535cdebb20d1de26ec9ae7c764d4e4ad-PE.pkg,63CA91FAC6C6EE40B4A8EE84E6600C4A5BDA417F,106.9271240234375,JP0048-PCSG00038_00-SUMIAPP000000000-A0101-V0101-2edf42ad535cdebb20d1de26ec9ae7c764d4e4ad-PE.pkg,XML Direct Link
PCSB00096,Tales From Space: Mutant Blobs Attack,EU,Action » Platformer » 2D,True,success,1,0,0,135.04721069335938,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00096/PCSB00096_T1/962338407858946c/EP2145-PCSB00096_00-MUTANTBLOBSATK00-A0101-V0100-78bd2e4c4a88420ab90dd16ce3a0a2ba946b9731-PE.pkg,5020FDDF744C19A92B08A98A8E4D9C2C5F043617,135.04721069335938,EP2145-PCSB00096_00-MUTANTBLOBSATK00-A0101-V0100-78bd2e4c4a88420ab90dd16ce3a0a2ba946b9731-PE.pkg,XML Direct Link
PCSE00007,Asphalt: Injection,US,Driving » General,False,no_updates,0,0,0,0.0,,,,,,
PCSF00011,Top Darts,EU,Sports » Alternative,False,no_updates,0,0,0,0.0,,,,,,
PCSE00024,Ben 10: Galactic Racing,US,Driving » Racing,False,no_updates,0,0,0,0.0,,,,,,
PCSC00012,Escape Plan,JP,Miscellaneous » Puzzle,True,success,1,0,0,1422.0783081054688,01.04,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSC00012/PCSC00012_T4/ac5e8e5fe57148fd/JP9000-PCSC00012_00-ESCPGAMEMASTERJA-A0104-V0101-7b4d61f7ade34365d83ba2de6a9bf3c7b4a8986c-PE.pkg,90A95EE549037F4765A4F3ADF9029A439232526D,1422.0783081054688,JP9000-PCSC00012_00-ESCPGAMEMASTERJA-A0104-V0101-7b4d61f7ade34365d83ba2de6a9bf3c7b4a8986c-PE.pkg,XML Direct Link
PCSE00018,BlazBlue: Continuum Shift Extend,US,Action » Fighting » 2D,False,no_updates,0,0,0,0.0,,,,,,
PCSA00034,MotorStorm RC,US,Driving » Racing,True,success,1,0,0,34.8992919921875,01.02,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00034/PCSA00034_T1/821df928f0093d44/UP9000-PCSA00034_00-UMOTORSTOR000001-A0102-V0100-173971c20883cdf24febdfcbd49f1f3518be86e3-PE.pkg,6450A45E8F1EFA952B250F453C461E87C0AF26AC,34.8992919921875,UP9000-PCSA00034_00-UMOTORSTOR000001-A0102-V0100-173971c20883cdf24febdfcbd49f1f3518be86e3-PE.pkg,XML Direct Link
PCSE00008,Dungeon Hunter: Alliance,US,Role-Playing » Action RPG,False,no_updates,0,0,0,0.0,,,,,,
PCSE00062,Sumioni: Demon Arts,US,Role-Playing » General,True,success,1,0,0,99.22512817382812,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSE00062/PCSE00062_T1/52e046bc026f26d1/UP1023-PCSE00062_00-SUMIAPP000000000-A0101-V0101-b581b05f3c94dd2b7f0dbda4e2dd382f223ae676-PE.pkg,0FB16EF66FF03736475A893F7E4DE7831D835D47,99.22512817382812,UP1023-PCSE00062_00-SUMIAPP000000000-A0101-V0101-b581b05f3c94dd2b7f0dbda4e2dd382f223ae676-PE.pkg,XML Direct Link
