ID,Title,Region,Media_ID,Box_ID,Genre,Released
0150,Guilty Gear XX Accent Core Plus R,JP,PCSG-00131,,Action » Fighting » 2D,2013-03-19
0151,FIFA 13,EU,PCSB-00173,,Sports » Traditional » Soccer,2012-09-28
0151,Machinarium,US,PCSE-00212,,Adventure » General,2013-03-26
0152,FIFA 13,EU,PCSB-00174,,Sports » Traditional » Soccer,2012-09-28
0152,WRC FIA World Rally Championship 3,US,PCSE-00242,,Driving » Racing,2013-03-26
0153,Spy Hunter,US,PCSE-00068,,Driving » General,2012-10-09
0153,Guacamelee!,US,PCSE-00033,,Action » Fighting » 2D,2013-04-09
0154,Spy Hunter,EU,PCSB-00166,,Driving » General,2012-10-12
0154,Table Mini Golf,US,PCSA-00074,,Sports » Traditional » Golf,2013-04-09
0155,WRC FIA World Rally Championship 3,EU,PCSB-00204,,Driving » Racing,2012-10-12
0155,Guacamelee!,EU,PCSB-00189,,Action » Fighting » 2D,2013-04-10
0156,Silent Hill: Book of Memories,US,PCSE-00011,,Action Adventure,2012-10-16
0156,Table Mini Golf,EU,PCSF-00147,,Sports » Traditional » Golf,2013-04-10
0157,Danball Senki W,JP,PCSG-00077,VLJM-35015,Role-Playing » Action RPG,2012-10-18
0157,Kaku-San-Sei Million Arthur,JP,PCSG-00182,,Role-Playing » General,2013-04-11
0158,Eiyuu Densetsu: Zero no Kiseki Evolution,JP,PCSG-00042,VLJS-05008,Role-Playing » Console-style RPG,2012-10-18
0158,Dragon Fantasy Book I,US,PCSE-00217,,Role-Playing » Console-style RPG,2013-04-16
0159,FIFA 13: World Class Soccer,JP,PCSG-00107,VLJM-35018,Sports » Traditional » Soccer,2012-10-18
0159,Atelier Totori Plus: The Adventurer of Arland,EU,PCSB-00291,,Role-Playing » General,2013-04-17
0160,Smart as...,US,PCSA-00079,PCSA-22005,Miscellaneous » Puzzle,2012-10-23
0160,Draw Slasher,US,PCSE-00224,,Action » General,2013-04-23
0161,Street Fighter X Tekken,US,PCSE-00005,,Action » Fighting » 3D,2012-10-23
0161,Guilty Gear XX Accent Core Plus R,US,PCSE-00137,,Action » Fighting » 2D,2013-04-23
0162,Super Monkey Ball: Banana Splitz,US,PCSE-00017,,Action » General,2012-10-23
0162,Thomas Was Alone,US,PCSE-00258,,Action » Platformer » 2D,2013-04-23
0163,Zero Escape: Virtue's Last Reward,US,PCSE-00085,,Adventure » General,2012-10-23
0163,Draw Slasher,EU,PCSB-00229,,Action » General,2013-04-24
0164,Street Fighter X Tekken,JP,PCSG-00063,VLJM-35011,Action » Fighting » 3D,2012-10-25
0164,Thomas Was Alone,EU,PCSB-00272,,Action » Platformer » 2D,2013-04-24
0165,NextRev: Kaigo Fukushishi Shiken,JP,PCSG-00121,VLJS-00032,Miscellaneous » Edutainment,2012-10-25
0165,Spelunker Collection,JP,PCSG-00145,,Action » General,2013-04-25
0166,Super Monkey Ball: Banana Splitz,EU,PCSB-00065,,Action » General,2012-10-26
0166,Zombie Tycoon 2: Brainhov's Revenge,US,PCSE-00102,,Strategy » General,2013-04-30
0167,Street Fighter X Tekken,EU,PCSB-00144,,Action » Fighting » 3D,2012-10-26
0167,Farming Simulator,EU,PCSB-00333,,Simulation » General,2013-05-01
0168,Assassin's Creed III: Liberation,US,PCSE-00053,,Action Adventure,2012-10-30
0168,Machinarium,EU,PCSB-00237,,Adventure » General,2013-05-01
0169,Need for Speed: Most Wanted,US,PCSE-00089,,Driving » Racing,2012-10-30
